L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.2283083,1.290102,-0.008679345,0.02591259,-0.02081616,0.03685926,-0.1985319,-1.041533,2.501389,-0.01195908
L,-0.2277765,1.28968,-0.007948923,0.04447019,-0.03525718,0.06107682,1.551759,-1.207536,2.025036,0
L,-0.2272085,1.289237,-0.00719868,0.0353594,-0.02761369,0.04670429,-0.5671669,0.4758238,-0.8947216,0.01606369
L,-0.2272012,1.288942,-0.005589808,0.0006579796,-0.02656626,0.1449831,-3.127112,0.09438901,8.85638,0.02716064
L,-0.2271762,1.28864,-0.003984984,0.001565307,-0.01897455,0.1007653,0.05697016,0.4766757,-2.776394,0.04308701
L,-0.2259672,1.288332,-0.003794506,0.09851837,-0.02510103,0.01552149,7.900424,-0.4992288,-6.94627,0.05535889
L,-0.2247349,1.288013,-0.003600132,0.09006373,-0.02325237,0.0142052,-0.6178796,0.1351029,-0.09619658,0.06904221
L,-0.2235035,1.287689,-0.003390377,0.07997553,-0.02105271,0.01362389,-0.655243,0.1428709,-0.03775669,0.08443832
L,-0.2226196,1.287706,-0.004305574,0.06910672,0.001286162,-0.07155188,-0.8497445,1.746496,-6.659206,0.097229
L,-0.221674,1.28771,-0.005236499,0.06309155,0.0002783787,-0.06211158,-0.4013336,-0.06723956,0.6298599,0.1122169
L,-0.2215755,1.288038,-0.005075797,0.007897315,0.02628058,0.0128829,-4.424721,2.084502,6.012034,0.124691
L,-0.2214721,1.288346,-0.00491299,0.006511355,0.0194139,0.01025687,-0.08731577,-0.4326024,-0.1654404,0.140564
L,-0.2214156,1.288436,-0.004688211,0.004545106,0.007287512,0.01808053,-0.1581591,-0.9754099,0.6293111,0.1529961
L,-0.2213329,1.28854,-0.004406095,0.005989871,0.00751484,0.02041833,0.1045656,0.016453,0.1691998,0.1668129
L,-0.2212185,1.288659,-0.004061552,0.007707061,0.008025385,0.02321843,0.1157201,0.03440525,0.1886965,0.1816521
L,-0.2213362,1.288603,-0.00411529,-0.009375712,-0.004453434,-0.00428051,-1.360725,-0.9939981,-2.190423,0.1942062
L,-0.2214537,1.288539,-0.004175215,-0.008436259,-0.004622021,-0.004302585,0.06745329,-0.01210469,-0.001585042,0.2081337
L,-0.2214707,1.288572,-0.004057753,-0.001042824,0.001996081,0.007204462,0.4534732,0.4059185,0.7057799,0.2244377
L,-0.2214803,1.288604,-0.003932725,-0.0007503531,0.002490336,0.009745843,0.02279797,0.03852692,0.1980992,0.2372665
L,-0.2214837,1.288635,-0.003801899,-0.0002418862,0.002206681,0.009314327,0.03620085,-0.02019513,-0.03072227,0.2513123
L,-0.2214865,1.28852,-0.003749806,-0.0002211769,-0.009301516,0.004225193,0.001679708,-0.9334174,-0.4127741,0.2636414
L,-0.2214839,1.288397,-0.003696775,0.0001659137,-0.007987146,0.003453004,0.02520454,0.08558226,-0.05027932,0.2789993
L,-0.2214965,1.288403,-0.003607917,-0.001006913,0.0004475168,0.007097355,-0.09367745,0.6737039,0.2910861,0.2915192
L,-0.2215055,1.288409,-0.0035158,-0.000576678,0.0004145173,0.0059317,0.02770411,-0.002124934,-0.07506005,0.3070488
L,-0.2216383,1.288279,-0.00353732,-0.01050667,-0.01030033,-0.001702776,-0.7857192,-0.8478218,-0.6040845,0.3196869
L,-0.221775,1.288141,-0.003562918,-0.008900587,-0.008991745,-0.001665966,0.1045246,0.08516338,0.002395615,0.3350525
L,-0.2219146,1.287996,-0.003591499,-0.01175514,-0.01217676,-0.002406742,-0.2403803,-0.2682082,-0.06238035,0.3469276
L,-0.2219551,1.288092,-0.002893053,-0.002893439,0.006814615,0.04997092,0.6340179,1.358754,3.747404,0.3609047
L,-0.2220214,1.288281,-0.001543063,-0.004607823,0.01313742,0.09374618,-0.1190504,0.4390687,3.039847,0.3753052
L,-0.2219418,1.288154,-0.001507871,0.005678629,-0.009058587,0.002510989,0.7339498,-1.58371,-6.509733,0.3893204
